tick,agent_id,cash,food,grain
0,2,148,12,49
0,4,282,15,49
0,8,397,26,10
0,0,322,3,39
0,10,324,16,3
0,11,346,10,43
0,12,161,1,61
0,7,271,23,36
0,6,309,23,0
0,5,486,30,15
0,9,271,10,29
0,3,105,10,23
0,14,136,2,56
0,1,426,13,40
0,13,418,6,31
1,2,148,8,59
1,4,318,10,59
1,8,469,18,15
1,0,14,7,59
1,10,309,10,28
1,11,310,7,63
1,7,383,35,11
1,6,380,14,17
1,5,587,22,26
1,9,235,7,49
1,3,69,7,24
1,14,202,1,60
1,1,466,8,41
1,13,230,27,6
2,2,148,5,69
2,4,171,10,69
2,8,529,11,16
2,0,14,4,79
2,10,162,10,48
2,11,73,10,83
2,7,914,12,21
2,6,353,10,27
2,5,674,34,1
2,9,25,10,69
2,3,69,4,25
2,1,259,10,42
2,13,527,12,16
3,2,148,13,44
3,4,171,16,44
3,8,414,10,22
3,0,39,3,94
3,10,162,16,23
3,11,118,16,49
3,7,827,11,34
3,6,307,28,4
3,5,958,14,13
3,9,25,16,44
3,3,69,23,0
3,1,200,19,18
3,13,480,10,27
4,2,132,10,50
4,4,244,10,50
4,8,247,30,1
4,0,279,2,84
4,10,142,11,45
4,11,216,10,62
4,7,713,30,11
4,6,293,36,0
4,5,816,30,0
4,9,128,10,57
4,3,209,13,1
4,1,186,22,0
4,13,313,30,6
5,2,163,20,14
5,4,135,25,12
5,8,158,38,0
5,0,516,3,72
5,10,148,12,53
5,11,205,14,60
5,7,730,38,0
5,6,337,38,0
5,5,734,38,0
5,9,230,9,60
5,3,75,14,2
5,1,194,17,1
5,13,293,38,0
6,2,125,17,24
6,4,198,17,22
6,8,398,21,1
6,0,123,17,92
6,10,1,14,73
6,11,43,17,80
6,7,936,23,10
6,6,564,22,10
6,5,900,25,10
6,9,20,14,80
6,3,75,10,3
6,1,95,17,2
6,13,440,26,10
7,2,66,25,0
7,4,147,24,0
7,8,278,36,0
7,0,243,12,88
7,10,86,10,76
7,11,168,12,75
7,7,861,38,0
7,6,489,37,0
7,5,861,38,0
7,9,130,10,78
7,3,75,6,4
7,1,95,12,3
7,13,419,38,0
8,2,108,18,10
8,4,78,18,28
8,8,247,27,24
8,0,229,17,70
8,10,216,6,70
8,11,146,14,70
8,7,806,31,29
8,6,430,31,26
8,5,817,30,31
8,9,270,6,70
8,3,75,3,5
8,1,95,8,4
8,13,401,29,30
9,2,28,18,20
9,4,78,23,3
9,8,275,40,0
9,0,127,20,84
9,10,236,13,40
9,11,34,28,37
9,7,902,40,4
9,6,508,41,1
9,5,897,40,6
9,9,282,13,42
9,3,75,2,6
9,1,11,15,0
9,13,465,40,5
10,2,28,13,30
10,4,35,21,13
10,8,378,28,2
10,0,59,21,94
10,10,43,21,60
10,11,49,22,57
10,7,999,28,17
10,6,656,26,12
10,5,953,31,18
10,9,87,21,63
10,3,75,1,7
10,1,11,10,1
10,13,545,29,17
11,2,28,19,5
11,4,35,16,23
11,8,378,23,3
11,0,59,16,114
11,10,43,26,35
11,11,49,27,32
11,7,999,23,27
11,6,656,21,22
11,5,986,23,28
11,9,43,30,38
11,1,11,6,2
11,13,556,23,27
12,2,28,14,15
12,4,35,11,33
12,8,337,19,13
12,0,119,14,94
12,10,63,20,55
12,11,63,21,52
12,7,990,38,7
12,6,610,38,3
12,5,965,38,12
12,9,87,21,62
12,1,11,3,3
12,13,535,38,9
13,2,28,10,25
13,4,35,7,43
13,8,223,23,14
13,0,119,10,114
13,10,15,18,75
13,11,31,18,72
13,7,1058,28,17
13,6,678,28,13
13,5,1027,28,22
13,9,5,23,82
13,1,11,2,4
13,13,613,27,19
14,2,28,16,0
14,4,35,14,18
14,8,190,38,0
14,0,182,6,113
14,10,30,23,45
14,11,43,23,43
14,7,1034,43,0
14,6,642,43,0
14,5,1018,43,0
14,9,35,28,47
14,1,11,1,5
14,13,595,42,0
15,2,28,11,10
15,4,35,10,28
15,8,204,31,9
15,0,260,3,94
15,10,0,20,65
15,11,13,20,63
15,7,1014,38,20
15,6,634,38,14
15,5,1023,37,15
15,9,35,23,67
15,13,586,36,22
16,2,28,7,20
16,4,35,6,38
16,8,213,25,10
16,0,17,25,114
16,10,0,15,85
16,11,13,15,83
16,7,1077,26,30
16,6,706,25,24
16,5,1068,27,25
16,9,35,18,87
16,13,640,25,32
17,2,28,4,30
17,4,19,13,21
17,8,175,40,4
17,0,97,20,94
17,10,22,20,49
17,11,31,20,49
17,7,1057,41,15
17,6,678,40,13
17,5,1044,42,12
17,9,61,23,49
17,13,620,40,17
18,2,28,3,40
18,4,19,9,31
18,8,178,34,10
18,0,47,22,94
18,10,22,15,69
18,11,31,15,69
18,7,1090,33,28
18,6,722,31,26
18,5,1077,34,25
18,9,10,22,69
18,13,608,35,33
19,2,28,12,15
19,4,19,16,6
19,8,163,49,0
19,0,62,18,54
19,10,22,20,44
19,11,31,20,44
19,7,1090,48,3
19,6,715,47,1
19,5,1077,49,0
19,9,10,27,44
19,13,615,49,8
20,2,28,8,25
20,4,19,11,16
20,8,181,38,1
20,0,11,30,74
20,10,22,15,64
20,11,31,15,64
20,7,1105,38,13
20,6,718,41,11
20,5,1089,40,10
20,9,10,22,64
20,13,618,43,18
21,2,28,15,0
21,4,19,7,26
21,8,181,33,2
21,0,1,31,49
21,10,22,20,39
21,11,31,20,39
21,7,1105,33,23
21,6,718,36,21
21,5,1093,33,20
21,9,10,27,39
21,13,624,35,28
22,2,28,10,10
22,4,19,14,1
22,8,181,28,3
22,0,1,27,24
22,10,22,25,14
22,11,31,25,14
22,7,1105,28,33
22,6,722,30,31
22,5,1089,29,30
22,9,10,32,14
22,13,624,50,3
23,2,28,6,20
23,4,19,10,11
23,8,157,27,4
23,0,1,22,44
23,10,22,20,34
23,11,31,20,34
23,7,1081,27,43
23,6,710,27,41
23,5,1071,27,40
23,9,10,27,34
23,13,702,32,13
24,2,28,3,30
24,4,19,6,21
24,8,157,22,5
24,0,1,17,64
24,10,22,25,9
24,11,31,25,9
24,7,1081,42,18
24,6,710,42,16
24,5,1071,42,15
24,9,10,32,9
24,13,702,27,23
25,2,28,2,40
25,4,19,3,31
25,8,81,27,6
25,0,1,12,84
25,10,22,20,29
25,11,31,20,29
25,7,1111,33,28
25,6,754,31,26
25,5,1109,32,25
25,9,10,27,29
25,13,666,27,33
26,2,28,11,15
26,4,19,12,6
26,8,71,22,17
26,0,11,8,94
26,10,22,25,4
26,11,31,25,4
26,7,1111,48,3
26,6,754,46,1
26,5,1109,47,0
26,9,10,32,4
26,13,666,42,8
27,2,28,7,25
27,4,19,8,16
27,8,5,23,24
27,0,31,5,94
27,10,22,20,24
27,11,1,23,24
27,7,1136,40,18
27,6,782,38,13
27,5,1116,41,13
27,9,30,25,24
27,13,662,37,22
28,2,28,14,0
28,4,19,5,26
28,8,5,18,25
28,0,31,4,69
28,10,22,15,44
28,11,1,18,44
28,7,1136,35,28
28,6,782,33,23
28,5,1116,36,23
28,9,30,20,44
28,13,662,32,32
29,2,28,10,10
29,4,19,3,36
29,8,5,33,0
29,0,31,3,89
29,10,22,10,64
29,11,1,13,64
29,7,1136,50,3
29,6,782,28,33
29,5,1119,30,33
29,9,30,15,64
29,13,659,48,7
30,2,28,6,20
30,4,19,12,11
30,8,1,29,1
30,0,31,3,64
30,10,22,16,39
30,11,1,19,39
30,7,1167,37,13
30,6,755,50,8
30,5,1100,50,8
30,9,30,20,39
30,13,678,38,17
31,2,28,3,30
31,4,19,8,21
31,8,1,24,2
31,0,31,3,39
31,10,18,25,14
31,11,1,24,14
31,7,1167,32,23
31,6,771,34,18
31,5,1110,37,18
31,9,8,40,14
31,13,678,33,27
32,2,28,12,5
32,4,19,5,31
32,8,1,19,3
32,0,31,3,14
32,10,18,20,34
32,11,1,19,34
32,7,1161,30,33
32,6,771,29,28
32,5,1110,32,28
32,9,14,32,34
32,13,678,48,2
33,2,28,8,15
33,4,19,3,41
33,8,1,14,4
33,0,31,2,34
33,10,18,15,54
33,11,1,14,54
33,7,1144,48,8
33,6,748,48,3
33,5,1105,48,3
33,9,9,28,54
33,13,728,34,12
34,2,28,5,25
34,4,19,12,16
34,8,1,10,5
34,0,31,2,9
34,10,18,20,29
34,11,1,20,29
34,7,1148,39,18
34,6,752,39,13
34,5,1109,39,13
34,9,0,42,29
34,13,725,32,22
35,2,28,13,0
35,4,19,8,26
35,8,1,6,6
35,0,31,1,29
35,10,18,25,4
35,11,1,25,4
35,7,1148,34,28
35,6,752,34,23
35,5,1109,34,23
35,9,0,47,4
35,13,725,27,32
36,2,28,9,10
36,4,19,5,36
36,8,1,3,7
36,10,18,20,24
36,11,1,20,24
36,7,1145,30,38
36,6,749,30,33
36,5,1106,30,33
36,9,33,31,24
36,13,701,30,42
37,2,28,6,20
37,4,19,13,11
37,8,1,2,8
37,10,18,15,44
37,11,1,15,44
37,7,1145,45,13
37,6,749,45,8
37,5,1106,45,8
37,9,33,26,44
37,13,701,45,17
38,2,28,3,30
38,4,19,9,21
38,8,1,1,9
38,10,18,10,64
38,11,1,10,64
38,7,1153,38,23
38,6,753,39,18
38,5,1114,38,18
38,9,1,29,64
38,13,713,37,27
39,2,28,12,5
39,4,19,6,31
39,10,18,16,39
39,11,1,16,39
39,7,1153,33,33
39,6,753,34,28
39,5,1114,33,28
39,9,1,34,39
39,13,713,52,2
40,2,21,14,15
40,4,19,13,6
40,10,18,21,14
40,11,1,21,14
40,7,1153,48,8
40,6,753,49,3
40,5,1113,49,3
40,9,1,39,14
40,13,721,39,12
41,2,21,10,25
41,4,19,9,16
41,10,18,16,34
41,11,1,16,34
41,7,1153,43,18
41,6,753,44,13
41,5,1113,44,13
41,9,1,34,34
41,13,721,34,22
42,2,21,16,0
42,4,19,6,26
42,10,18,21,9
42,11,1,21,9
42,7,1153,38,28
42,6,753,39,23
42,5,1115,38,23
42,9,1,39,9
42,13,719,30,32
43,2,21,11,10
43,4,19,3,36
43,10,18,16,29
43,11,1,16,29
43,7,1155,32,38
43,6,755,33,33
43,5,1117,32,33
43,9,5,32,29
43,13,709,30,42
44,2,21,7,20
44,4,19,12,11
44,10,18,21,4
44,11,1,21,4
44,7,1155,47,13
44,6,755,48,8
44,5,1117,47,8
44,9,5,37,4
44,13,709,45,17
45,2,21,4,30
45,4,19,8,21
45,10,18,16,24
45,11,1,16,24
45,7,1155,42,23
45,6,755,43,18
45,5,1117,42,18
45,9,5,32,24
45,13,709,40,27
46,2,21,13,5
46,4,19,5,31
46,10,18,11,44
46,11,1,11,44
46,7,1155,37,33
46,6,755,38,28
46,5,1117,37,28
46,9,5,27,44
46,13,709,55,2
47,2,21,9,15
47,4,19,13,6
47,10,18,17,19
47,11,1,17,19
47,7,1155,52,8
47,6,755,53,3
47,5,1117,52,3
47,9,5,32,19
47,13,709,50,12
48,2,21,6,25
48,4,19,9,16
48,10,18,12,39
48,11,1,12,39
48,7,1157,45,18
48,6,755,48,13
48,5,1119,45,13
48,9,0,32,39
48,13,710,44,22
49,2,21,13,0
49,4,19,6,26
49,10,18,18,14
49,11,1,18,14
49,7,1157,40,28
49,6,755,43,23
49,5,1119,40,23
49,9,0,37,14
49,13,710,39,32
