tick,agent_id,utility,food_consumed
0,2,293,1
0,4,414,3
0,8,414,3
0,0,414,2
0,10,414,4
0,11,414,4
0,12,216,1
0,7,414,2
0,6,414,3
0,5,414,4
0,9,414,4
0,3,414,4
0,14,293,1
0,1,414,2
0,13,414,3
1,2,414,4
1,4,414,4
1,8,414,5
1,0,414,4
1,10,414,5
1,11,414,4
1,12,120,1
1,7,414,5
1,6,414,5
1,5,414,5
1,9,414,4
1,3,414,4
1,14,216,1
1,1,414,4
1,13,414,4
2,2,414,3
2,4,414,5
2,8,414,5
2,0,414,3
2,10,414,5
2,11,414,5
2,7,414,5
2,6,414,5
2,5,414,5
2,9,414,4
2,3,414,3
2,14,120,1
2,1,414,5
2,13,414,5
3,2,414,2
3,4,414,4
3,8,414,5
3,0,354,1
3,10,414,4
3,11,414,4
3,7,414,5
3,6,414,4
3,5,414,5
3,9,414,4
3,3,354,1
3,1,414,4
3,13,414,4
4,2,414,5
4,4,414,5
4,8,414,5
4,0,293,1
4,10,414,5
4,11,414,5
4,7,414,5
4,6,414,5
4,5,414,5
4,9,414,5
4,3,414,5
4,1,414,5
4,13,414,5
5,2,414,4
5,4,414,5
5,8,414,5
5,0,414,2
5,10,414,5
5,11,414,5
5,7,414,5
5,6,414,5
5,5,414,5
5,9,414,4
5,3,414,5
5,1,414,5
5,13,414,5
6,2,414,5
6,4,414,5
6,8,414,5
6,0,414,5
6,10,414,5
6,11,414,5
6,7,414,5
6,6,414,5
6,5,414,5
6,9,414,5
6,3,414,4
6,1,414,5
6,13,414,5
7,2,414,5
7,4,414,5
7,8,414,5
7,0,414,5
7,10,414,4
7,11,414,5
7,7,414,5
7,6,414,5
7,5,414,5
7,9,414,4
7,3,414,4
7,1,414,5
7,13,414,5
8,2,414,5
8,4,414,5
8,8,414,5
8,0,414,5
8,10,414,4
8,11,414,5
8,7,414,5
8,6,414,5
8,5,414,5
8,9,414,4
8,3,414,3
8,1,414,4
8,13,414,5
9,2,414,5
9,4,414,5
9,8,414,5
9,0,414,5
9,10,414,3
9,11,414,5
9,7,414,5
9,6,414,5
9,5,414,5
9,9,414,3
9,3,293,1
9,1,414,3
9,13,414,5
10,2,414,5
10,4,414,5
10,8,414,5
10,0,414,5
10,10,414,5
10,11,414,5
10,7,414,5
10,6,414,5
10,5,414,5
10,9,414,5
10,3,216,1
10,1,414,5
10,13,414,5
11,2,414,4
11,4,414,5
11,8,414,5
11,0,414,5
11,10,414,5
11,11,414,5
11,7,414,5
11,6,414,5
11,5,414,5
11,9,414,5
11,3,120,1
11,1,414,4
11,13,414,5
12,2,414,5
12,4,414,5
12,8,414,5
12,0,414,5
12,10,414,5
12,11,414,5
12,7,414,5
12,6,414,5
12,5,414,5
12,9,414,5
12,1,414,3
12,13,414,5
13,2,414,4
13,4,414,4
13,8,414,5
13,0,414,4
13,10,414,5
13,11,414,5
13,7,414,5
13,6,414,5
13,5,414,5
13,9,414,5
13,1,293,1
13,13,414,5
14,2,414,4
14,4,414,3
14,8,414,5
14,0,414,4
14,10,414,5
14,11,414,5
14,7,414,5
14,6,414,5
14,5,414,5
14,9,414,5
14,1,216,1
14,13,414,5
15,2,414,5
15,4,414,4
15,8,414,5
15,0,414,3
15,10,414,5
15,11,414,5
15,7,414,5
15,6,414,5
15,5,414,5
15,9,414,5
15,1,120,1
15,13,414,5
16,2,414,4
16,4,414,4
16,8,414,5
16,0,414,5
16,10,414,5
16,11,414,5
16,7,414,5
16,6,414,5
16,5,414,5
16,9,414,5
16,13,414,5
17,2,414,3
17,4,414,3
17,8,414,5
17,0,414,5
17,10,414,5
17,11,414,5
17,7,414,5
17,6,414,5
17,5,414,5
17,9,414,5
17,13,414,5
18,2,354,1
18,4,414,4
18,8,414,5
18,0,414,5
18,10,414,5
18,11,414,5
18,7,414,5
18,6,414,5
18,5,414,5
18,9,414,5
18,13,414,5
19,2,293,1
19,4,414,3
19,8,414,5
19,0,414,5
19,10,414,5
19,11,414,5
19,7,414,5
19,6,414,5
19,5,414,5
19,9,414,5
19,13,414,5
20,2,414,4
20,4,414,5
20,8,414,5
20,0,414,5
20,10,414,5
20,11,414,5
20,7,414,5
20,6,414,5
20,5,414,5
20,9,414,5
20,13,414,5
21,2,414,3
21,4,414,4
21,8,414,5
21,0,414,5
21,10,414,5
21,11,414,5
21,7,414,5
21,6,414,5
21,5,414,5
21,9,414,5
21,13,414,5
22,2,414,5
22,4,414,3
22,8,414,5
22,0,414,5
22,10,414,5
22,11,414,5
22,7,414,5
22,6,414,5
22,5,414,5
22,9,414,5
22,13,414,5
23,2,414,4
23,4,414,4
23,8,414,5
23,0,414,5
23,10,414,5
23,11,414,5
23,7,414,5
23,6,414,5
23,5,414,5
23,9,414,5
23,13,414,5
24,2,414,3
24,4,414,4
24,8,414,5
24,0,414,5
24,10,414,5
24,11,414,5
24,7,414,5
24,6,414,5
24,5,414,5
24,9,414,5
24,13,414,5
25,2,293,1
25,4,414,3
25,8,414,5
25,0,414,5
25,10,414,5
25,11,414,5
25,7,414,5
25,6,414,5
25,5,414,5
25,9,414,5
25,13,414,5
26,2,216,1
26,4,293,1
26,8,414,5
26,0,414,4
26,10,414,5
26,11,414,5
26,7,414,5
26,6,414,5
26,5,414,5
26,9,414,5
26,13,414,5
27,2,414,4
27,4,414,4
27,8,414,5
27,0,414,3
27,10,414,5
27,11,414,5
27,7,414,5
27,6,414,5
27,5,414,5
27,9,414,5
27,13,414,5
28,2,414,3
28,4,414,3
28,8,414,5
28,0,414,2
28,10,414,5
28,11,414,5
28,7,414,5
28,6,414,5
28,5,414,5
28,9,414,5
28,13,414,5
29,2,414,4
29,4,414,2
29,8,414,5
29,0,354,1
29,10,414,5
29,11,414,5
29,7,414,5
29,6,414,5
29,5,414,5
29,9,414,5
29,13,414,5
30,2,414,4
30,4,293,1
30,8,414,5
30,0,293,1
30,10,414,4
30,11,414,4
30,7,414,5
30,6,414,5
30,5,414,5
30,9,414,5
30,13,414,5
31,2,414,3
31,4,414,4
31,8,414,5
31,0,293,1
31,10,414,5
31,11,414,5
31,7,414,5
31,6,414,5
31,5,414,5
31,9,414,5
31,13,414,5
32,2,293,1
32,4,414,3
32,8,414,5
32,0,293,1
32,10,414,5
32,11,414,5
32,7,414,5
32,6,414,5
32,5,414,5
32,9,414,5
32,13,414,5
33,2,414,4
33,4,414,2
33,8,414,5
33,0,293,1
33,10,414,5
33,11,414,5
33,7,414,5
33,6,414,5
33,5,414,5
33,9,414,5
33,13,414,5
34,2,414,3
34,4,293,1
34,8,414,4
34,0,216,1
34,10,414,5
34,11,414,4
34,7,414,5
34,6,414,5
34,5,414,5
34,9,414,5
34,13,414,5
35,2,414,2
35,4,414,4
35,8,414,4
35,0,216,1
35,10,414,5
35,11,414,5
35,7,414,5
35,6,414,5
35,5,414,5
35,9,414,5
35,13,414,5
36,2,414,4
36,4,414,3
36,8,414,3
36,0,120,1
36,10,414,5
36,11,414,5
36,7,414,5
36,6,414,5
36,5,414,5
36,9,414,5
36,13,414,5
37,2,414,3
37,4,414,2
37,8,293,1
37,10,414,5
37,11,414,5
37,7,414,5
37,6,414,5
37,5,414,5
37,9,414,5
37,13,414,5
38,2,414,3
38,4,414,4
38,8,216,1
38,10,414,5
38,11,414,5
38,7,414,5
38,6,414,5
38,5,414,5
38,9,414,5
38,13,414,5
39,2,293,1
39,4,414,3
39,8,120,1
39,10,414,4
39,11,414,4
39,7,414,5
39,6,414,5
39,5,414,5
39,9,414,5
39,13,414,5
40,2,414,5
40,4,414,3
40,10,414,5
40,11,414,5
40,7,414,5
40,6,414,5
40,5,414,5
40,9,414,5
40,13,414,5
41,2,414,4
41,4,414,4
41,10,414,5
41,11,414,5
41,7,414,5
41,6,414,5
41,5,414,5
41,9,414,5
41,13,414,5
42,2,414,4
42,4,414,3
42,10,414,5
42,11,414,5
42,7,414,5
42,6,414,5
42,5,414,5
42,9,414,5
42,13,414,5
43,2,414,5
43,4,414,3
43,10,414,5
43,11,414,5
43,7,414,5
43,6,414,5
43,5,414,5
43,9,414,5
43,13,414,5
44,2,414,4
44,4,293,1
44,10,414,5
44,11,414,5
44,7,414,5
44,6,414,5
44,5,414,5
44,9,414,5
44,13,414,5
45,2,414,3
45,4,414,4
45,10,414,5
45,11,414,5
45,7,414,5
45,6,414,5
45,5,414,5
45,9,414,5
45,13,414,5
46,2,354,1
46,4,414,3
46,10,414,5
46,11,414,5
46,7,414,5
46,6,414,5
46,5,414,5
46,9,414,5
46,13,414,5
47,2,414,4
47,4,414,2
47,10,414,4
47,11,414,4
47,7,414,5
47,6,414,5
47,5,414,5
47,9,414,5
47,13,414,5
48,2,414,3
48,4,414,4
48,10,414,5
48,11,414,5
48,7,414,5
48,6,414,5
48,5,414,5
48,9,414,5
48,13,414,5
49,2,414,3
49,4,414,3
49,10,414,4
49,11,414,4
49,7,414,5
49,6,414,5
49,5,414,5
49,9,414,5
49,13,414,5
